AssessmentSW,Date,caseload
Calvin Burton,8/2/2017,0
Rafael Taylor,8/2/2017,0
Allen Rivera,8/2/2017,0
Jared Gonzales,8/2/2017,0
Justin Ford,8/2/2017,0
Constance Holmes,8/2/2017,0
Sandra Lopez,8/2/2017,0
Fernando Walters,8/2/2017,0
Christopher Stephens,8/2/2017,0
Carolyn Griffin,8/2/2017,0
Harper Gordon,8/2/2017,0
Devon Riley,8/2/2017,0
Lauren Morrison,8/2/2017,0
Hugh Lawrence,8/2/2017,0
Valerie Webb,8/2/2017,0
Matthew Silva,8/2/2017,0
Tamara Chapman,8/2/2017,0
Janet Jacobs,8/2/2017,0
Celina Robertson,8/2/2017,0
Shelly Stewart,8/2/2017,0
Aubrey Grant,8/2/2017,0
Julia Moreno,8/2/2017,0
Arlene Cooper,8/2/2017,0
Joanne Jenkins,8/2/2017,0
Amy Porter,8/2/2017,0
Bill Bailey,8/2/2017,0
Nora Arnold,8/2/2017,0
Alvin Gutierrez,8/2/2017,0
Julio Jones,8/2/2017,0
Louise Welch,8/2/2017,0
Norman Newman,8/2/2017,0
Adrian Oliver,8/2/2017,0
Marlene Stanley,8/2/2017,0
Scott Franklin,8/2/2017,0
Gladys Patterson,8/2/2017,0
Claude Mills,8/2/2017,0
Marcia Daniels,8/2/2017,0
Kristin Thomas,8/2/2017,0
Antonio Campbell,8/2/2017,0
Morris Miles,8/2/2017,0
Colleen Flores,8/2/2017,0
Clayton Beck,8/2/2017,0
Cherly Jackson,8/2/2017,0
Kaylee Williams,8/2/2017,0
Isobel Grant,8/2/2017,0
Claudia Young,8/2/2017,0
Lucy Murphy,8/2/2017,0
Dustin Gonzales,8/2/2017,0
Beverley Reyes,8/2/2017,0
Jimmie Fisher,8/2/2017,0
Ken Reid,8/2/2017,0
Sophie Williamson,8/2/2017,0
Brett Coleman,8/2/2017,0
Gilbert Carter,8/2/2017,0
Ana Lewis,8/2/2017,0
Arthur Morris,8/2/2017,0
Derek Matthews,8/2/2017,0
Devon Beck,8/2/2017,0
Flenn West,8/2/2017,0
Alyssa Medina,8/2/2017,0
